application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION - Split 1,APPLICATION_CLASSIFICATION - Split 2,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,CCCUpdateDate
REOPENED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,IN PROCESS,IN PROCESS,,INCOMPLETE,MP281458,"Late Spring, Inc. d/b/a Gage Cannabis Company",Ayer,,01432,,,38 Littleton Rd,,Ayer,MA,01432,POINT (-71.275566 42.459085),,38 Littleton Rd,,Ayer,MA,01432,82-5274353,MPN281458,Fri Nov 09 2018 09:56:55 GMT-0500 (Eastern Standard Time),Thu Mar 21 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,APPROVED,RP201835,RP201835,Not a DBE,,,,Wed Aug 08 2018 12:29:56 GMT-0400 (Eastern Daylight Time),,,,,,,,300,,01432,Ayer,Middlesex,42.459085,-71.275566,Central MA,8/14/2023
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,3/7/2019,COMPLETE,MC281265,Patriot Care Corp,Lowell,MA,01852,42.628303,-71.317051,170 Lincoln Street,,Lowell,MA,01852,POINT (-71.275566 42.459085),POINT (-71.317051 42.6283030),70 Industrial Avenue East,Suite B,Lowell,MA,01852,46-3348302,MCN281265,Thu Jul 26 2018 08:32:26 GMT-0400 (Eastern Daylight Time),Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 07 2018 09:43:32 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201838,RPA201838,Not a DBE,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",Thu Jan 24 2019 03:00:00 GMT-0500 (Eastern Standard Time),Wed Apr 18 2018 20:05:50 GMT-0400 (Eastern Daylight Time),Tue Jul 31 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 06 2018 14:25:27 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 16 2024 04:00:00 GMT-0400 (Eastern Daylight Time),170 Lincoln St,N/A,Middlesex County,600,12500,01852,Lowell,Middlesex,42.459085,-71.275566,Northeast,9/5/2023
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,2/12/2019,COMPLETE,MC281507,"Revolutionary Clinics II, Inc.",Fitchburg,MA,01420,42.581078,-71.820825,9 Bartlet Street,Suite 335,Andover,MA,01810,POINT (-71.840209 42.329642),POINT (-71.820824 42.5810779),9 Bartlet Street,Suite 335,Andover,MA,01810,26-3198554,MCN281507,Tue Aug 14 2018 13:30:09 GMT-0400 (Eastern Daylight Time),Wed Jul 25 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Nov 28 2018 11:32:39 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201849,RP201849,Not a DBE,Indoor,"Tier 08: 60,001 to 70,000 sq. ft",Thu Jan 24 2019 03:00:00 GMT-0500 (Eastern Standard Time),Thu May 31 2018 16:12:08 GMT-0400 (Eastern Daylight Time),Tue Aug 21 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 20 2018 14:54:11 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),1 Oak Hill Rd,Unit B,Worcester County,600,17500,01420,Fitchburg,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Cultivator,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283866,FreeMarketMA LLC,Berkley,MA,02779,41.807051,-71.103628,118 Bayview Avenue,,Berkley,MA,02779,POINT (-71.102131 41.778329),POINT (-71.103628 41.8070510),401 Middle Road,,Acushnet,MA,02743,92-2240920,MCN283866,Tue Jun 13 2023 08:54:32 GMT-0400 (Eastern Daylight Time),Wed May 17 2023 12:31:03 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 12:30:56 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,Outdoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Sat Apr 29 2023 13:11:07 GMT-0400 (Eastern Daylight Time),Fri Jun 23 2023 11:37:14 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 11:40:23 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),118 Bayview Ave,N/A,Bristol County,200,1250,02779,Berkley,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,7/1/2019,COMPLETE,MR281371,"Mass Alternative Care, Inc.",Chicopee,MA,01020,42.158155,-72.542677,1247 East Main Street,,Chicopee,MA,01020,POINT (-72.571312 42.12756),POINT (-72.542676 42.1581550),1247 East Main Street,,Chicopee,MA,01020,46-2915012,MRN281371,Wed Nov 07 2018 17:16:44 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Tue Jan 29 2019 11:07:12 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201836,RPA201836,Not a DBE,,,Thu Apr 04 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 02 2018 13:09:57 GMT-0400 (Eastern Daylight Time),Fri Nov 23 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jan 10 2019 13:52:13 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 29 2024 03:00:00 GMT-0500 (Eastern Standard Time),1247 E Main St,N/A,Hampden County,300,5000,01020,Chicopee,Hampden,42.12756,-72.571312,Western MA,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282799,Royal Hemp LLC,Lanesborough,MA,01224,42.492862,-73.201996,660 CHESHIRE ROAD,,LANESBOROUGH,MA,01224,POINT (-73.209889 42.396128),POINT (-73.201995 42.4928620),660 CHESHIRE ROAD,,LANESBOROUGH,MA,01224,83-4641649,MRN282799,Tue Mar 24 2020 14:48:51 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,,Thu Jun 20 2019 13:42:35 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 20 2020 14:34:06 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Dec 08 2023 03:00:00 GMT-0500 (Eastern Standard Time),660 Cheshire Rd,N/A,Berkshire County,300,10000,01224,Berkshire,Berkshire,42.396128,-73.209889,,9/5/2023
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,COMMENCE OPS,12/8/2021,COMPLETE,MR282881,Frozen 4 Corporatioon,Marshfield,MA,02050,42.10628,-70.758619,618 Columbia Road,,Dorchester,MA,02125,POINT (-70.818958 41.978877),POINT (-70.758618 42.1062799),8 Bayridge Lane,,Duxbury,MA,02332,83-2341577,MRN282881,Thu Mar 12 2020 15:10:52 GMT-0400 (Eastern Daylight Time),Fri Feb 07 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Jun 05 2020 14:06:54 GMT-0400 (Eastern Daylight Time),True,,,,,EEA201955,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 22 2019 14:25:27 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:13:00 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),985 Plain St,N/A,Plymouth County,300,5000,02050,Marshfield,Plymouth,41.978877,-70.818958,Southeast and Cape,9/5/2023
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,1/23/2020,COMPLETE,MC282015,"SIRA NATURALS, INC.",Milford,MA,01757,42.142164,-71.491994,ONE INDUSTRIAL ROAD,,MILFORD,MA,01757,POINT (-71.840209 42.329642),POINT (-71.491994 42.1421640),300 TRADE CENTER DRIVE,SUITE 7700,WOBURN,MA,01801,46-5147723,MCN282015,Sun Mar 31 2019 11:56:32 GMT-0400 (Eastern Daylight Time),Tue Mar 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2019 15:55:34 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201855,RP201855,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",Thu Dec 19 2019 08:00:00 GMT-0500 (Eastern Standard Time),Sat Mar 02 2019 06:53:02 GMT-0500 (Eastern Standard Time),Wed Apr 10 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 13 2019 15:56:14 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 16 2023 04:00:00 GMT-0400 (Eastern Daylight Time),2 Industrial Rd,N/A,Worcester County,600,5000,01757,Milford,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,FINAL LICENSE,FINAL LICENSE,,COMPLETE,MC281622,ARL Healthcare Inc.,New Bedford,MA,02745,41.726796,-70.965285,167 John Vertente Blvd,,New Bedford,MA,02745,POINT (-71.102131 41.778329),POINT (-70.965284 41.726796),167 John Vertente Blvd,,Norwood,MA,02745,46-3459666,MCN281622,Thu Feb 06 2020 11:44:52 GMT-0500 (Eastern Standard Time),Thu Jul 11 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Apr 30 2020 09:03:35 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201908,RP201908,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 23 2018 18:13:46 GMT-0400 (Eastern Daylight Time),Wed Jan 15 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 14:26:26 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),167 John Vertente Blvd,N/A,Bristol County,600,20000,02745,New Bedford,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023
APPROVED,Marijuana Product Manufacturer,Expedited Review - Two or More,Expedited,Two or More,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281435,Top Shelf Cannaseurs LLC,Hudson,MA,01749,42.039231,-71.614093,11 Brent Drive,,Hudson,MA,01749,POINT (-71.275566 42.459085),POINT (-71.614092 42.0392310),25 Harriman Road,,Hudson,MA,01749,84-2290468,MPN281435,Mon Mar 09 2020 10:50:39 GMT-0400 (Eastern Daylight Time),Tue Nov 12 2019 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Veteran-Owned Business,,,,Fri Jul 13 2018 09:35:31 GMT-0400 (Eastern Daylight Time),Thu Mar 12 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Fri May 08 2020 15:04:20 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Aug 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),56 Industrial Dr,N/A,Worcester County,300,5000,01749,Hudson,Middlesex,42.459085,-71.275566,Central MA,9/5/2023
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,9/20/2022,COMPLETE,MP281966,Regenerative LLC,Uxbridge,MA,01569,42.059736,-71.638438,30 Noonan Way (formerly known as 1035 Quaker Hwy),,Uxbridge,MA,01569,POINT (-71.840209 42.329642),POINT (-71.638437 42.0597360),679 Washington St.,Ste8#177,Attleboro,MA,02703,85-2143420,MPN281966,Thu Nov 05 2020 20:10:32 GMT-0500 (Eastern Standard Time),Mon Nov 02 2020 10:03:42 GMT-0500 (Eastern Standard Time),Wed Mar 17 2021 12:55:38 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,,,Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 15 2020 21:19:30 GMT-0400 (Eastern Daylight Time),Fri Nov 06 2020 12:59:43 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:43:01 GMT-0500 (Eastern Standard Time),Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,N/A,Worcester County,1500,10000,01569,Uxbridge,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282151,"Winchendon Grows, LLC",Winchendon,MA,01475,42.661612,-72.047876,12 Mount Vernon Street,#47,Melrose,MA,02176,POINT (-71.840209 42.329642),POINT (-72.047876 42.6616119),12 Mount Vernon Street,#47,Melrose,MA,02176,87-1275849,MPN282151,Thu Jan 20 2022 13:01:36 GMT-0500 (Eastern Standard Time),Tue Jan 11 2022 13:24:41 GMT-0500 (Eastern Standard Time),Wed May 10 2023 16:09:00 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,,,,Mon Nov 22 2021 15:45:12 GMT-0500 (Eastern Standard Time),Mon Feb 07 2022 14:28:30 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:13:04 GMT-0400 (Eastern Daylight Time),Wed May 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri May 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,N/A,Worcester County,1500,10000,01475,Winchendon,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5840,Lucky Green Ladies LLC,N/A,,N/A,,,820 Pulaski Blvd,,Bellingham,MA,02019,,,820 Pulaski Blvd,,Bellingham,MA,02019,85-2986516,PMDA5840,Tue Aug 17 2021 07:54:20 GMT-0400 (Eastern Daylight Time),Thu Aug 05 2021 16:03:36 GMT-0400 (Eastern Daylight Time),,,,SE303977,,,,,,,Woman-Owned Business,,,,Sun May 30 2021 15:22:23 GMT-0400 (Eastern Daylight Time),Fri Aug 27 2021 11:01:15 GMT-0400 (Eastern Daylight Time),Mon Aug 30 2021 11:01:27 GMT-0400 (Eastern Daylight Time),Mon Aug 30 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 30 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/14/2023
APPROVED,Marijuana Cultivator,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281828,BVO LLC,Oxford,MA,01537,42.16089,-71.898044,4 Pioneer Drive,,Oxford,MA,01537,POINT (-71.840209 42.329642),POINT (-71.898043 42.1608900),782 Parker Street,,East Longmeadow,MA,01028,83-2996684,MCN281828,Mon Aug 02 2021 17:25:17 GMT-0400 (Eastern Daylight Time),Tue Jun 08 2021 12:39:43 GMT-0400 (Eastern Daylight Time),Wed Dec 01 2021 12:03:51 GMT-0500 (Eastern Standard Time),,yes,SE303886,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Sun Dec 02 2018 07:51:26 GMT-0500 (Eastern Standard Time),Fri Aug 13 2021 11:15:06 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:34:50 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sat Mar 09 2024 03:00:00 GMT-0500 (Eastern Standard Time),4 Pioneer Dr,N/A,Worcester County,400,1250,01537,North Oxford,Worcester,42.329642,-71.840209,,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283074,"Silver Therapeutics, Inc.",Boston,MA,02121,42.28318,-71.114194,82 Wendell Ave,Suite 100,Pittsfield,MA,01201,POINT (-71.073493 42.334948),POINT (-71.114193 42.2831800),89 Court Street,,Saratoga Springs,NY,12866,82-1894711,MRN283074,Tue May 05 2020 12:08:33 GMT-0400 (Eastern Daylight Time),Fri Mar 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Oct 09 2020 12:42:06 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201854,RPA201854,Not a DBE,,,,Wed Oct 23 2019 13:01:12 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 09:48:41 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:46:31 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),721 American Legion Hwy,N/A,Suffolk County,1500,10000,02121,Boston,Suffolk,42.334948,-71.073493,Metro Boston,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/1/2021,COMPLETE,MR283231,Caregiver-Patient Connection LLC/d.b.a. Local Roots,Sturbridge,MA