SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
8/28/2023,Infused Beverage,Each,3636,26137.97,0,0,3636,26137.97
9/2/2023,Concentrate,Milligrams,0,0,500,25,500,25
8/31/2023,Concentrate,Grams,0,0,531,18459.14,531,18459.14
8/29/2023,Shake/Trim,Grams,0,0,10004.5,34112.92,10004.5,34112.92
8/28/2023,Concentrate,Grams,0,0,387.5,13703.88,387.5,13703.88
9/2/2023,Raw Pre-Rolls,Grams,0,0,98671.41,888576.090000001,98671.41,888576.090000001
8/30/2023,Vape Product,Each,25144,850015.240000001,0,0,25144,850015.240000001
9/2/2023,Kief,Grams,0,0,113.7,2387.28,113.7,2387.28
8/31/2023,Infused (non-edible),Each,378,13029.12,0,0,378,13029.12
8/28/2023,Raw Pre-Rolls,Grams,0,0,69325.8,641838.51,69325.8,641838.51
8/28/2023,Shake/Trim,Grams,0,0,10027,33763.4,10027,33763.4
9/1/2023,Infused Pre-Rolls,Grams,0,0,5748.47,111369.05,5748.47,111369.05
9/1/2023,Raw Pre-Rolls,Grams,0,0,126465.25,1127614.76,126465.25,1127614.76
8/29/2023,Infused (non-edible),Each,283,11049.37,0,0,283,11049.37
8/31/2023,Concentrate (Bulk),Grams,0,0,21.5,936.5,21.5,936.5
8/31/2023,Infused Beverage,Each,7065,48265.66,0,0,7065,48265.66
9/2/2023,Shake/Trim,Grams,0,0,13568.5,46843.68,13568.5,46843.68
8/31/2023,Infused Pre-Rolls,Grams,0,0,3879.55,77115.1,3879.55,77115.1
9/3/2023,Buds,Pounds,0,0,3.81,6348.55,3.81,6348.55
8/30/2023,Concentrate,Milligrams,0,0,1500,120,1500,120
8/28/2023,Suppository,Each,1,25,0,0,1,25
8/30/2023,Infused (edible),Each,26435,506976.99,0,0,26435,506976.99
9/3/2023,Seeds,Each,1,60,0,0,1,60
9/2/2023,Buds,Grams,0,0,336902.87,2040370.32,336902.87,2040370.32
9/1/2023,Infused Beverage,Each,10858,75778.53,0,0,10858,75778.53
9/3/2023,Kief,Grams,0,0,137.5,2770.92,137.5,2770.92
8/29/2023,Shake/Trim (by strain),Grams,0,0,18307.6,59787.96,18307.6,59787.96
8/28/2023,Infused (non-edible),Each,254,10147.85,0,0,254,10147.85
9/3/2023,Infused Beverage,Each,7117,49035.22,0,0,7117,49035.22
9/2/2023,Seeds,Each,1,42,0,0,1,42
9/3/2023,Suppository,Each,8,217.5,0,0,8,217.5
9/2/2023,Concentrate (Bulk),Grams,0,0,9.5,428,9.5,428
9/1/2023,Buds,Pounds,0,0,1.38,2269.09,1.38,2269.09
9/2/2023,Buds,Pounds,0,0,4.05,6517.32,4.05,6517.32
9/3/2023,Raw Pre-Rolls,Grams,0,0,77939.6,709989.259999999,77939.6,709989.259999999
8/31/2023,Suppository,Each,11,334.51,0,0,11,334.51
8/31/2023,Vape Product,Each,29215,969285.98,0,0,29215,969285.98
8/29/2023,Concentrate (Each),Each,5018,173357.97,0,0,5018,173357.97
8/31/2023,Kief,Grams,0,0,111.5,2476.14,111.5,2476.14
9/2/2023,Kief,Milligrams,0,0,1000,30,1000,30
8/28/2023,Concentrate (Bulk),Grams,0,0,22,585.5,22,585.5
8/28/2023,Kief,Grams,0,0,93,2082.21,93,2082.21
9/2/2023,Immature Plants,Each,3,1.02,0,0,3,1.02
8/31/2023,Raw Pre-Rolls,Grams,0,0,93419.450000000,858660.7,93419.450000000,858660.7
8/31/2023,Buds,Grams,0,0,325876.35,1980632.12,325876.35,1980632.12
8/29/2023,Raw Pre-Rolls,Grams,0,0,85720.35,732984.23,85720.35,732984.23
9/3/2023,Concentrate (Each),Each,5684,187570.64,0,0,5684,187570.64
8/30/2023,Infused Pre-Rolls,Grams,0,0,3247.5,65013.92,3247.5,65013.92
9/1/2023,Suppository,Each,12,366.67,0,0,12,366.67
8/28/2023,Shake/Trim (by strain),Grams,0,0,16460,60433,16460,60433
9/2/2023,Concentrate (Each),Each,6178,225709.09,0,0,6178,225709.09
8/30/2023,Shake/Trim (by strain),Grams,0,0,19403.8,62991.79,19403.8,62991.79
9/2/2023,Infused (edible),Each,37916,710692.38,0,0,37916,710692.38
9/3/2023,Concentrate (Bulk),Grams,0,0,15.5,788,15.5,788
9/2/2023,Shake/Trim (by strain),Grams,0,0,22572.7,71030.21,22572.7,71030.21
9/1/2023,Shake/Trim (by strain),Grams,0,0,28572.6,91367.87,28572.6,91367.87
8/29/2023,Immature Plants,Each,11,135.01,0,0,11,135.01
9/2/2023,Suppository,Each,8,256.25,0,0,8,256.25
8/28/2023,Infused (edible),Each,22875,431737.37,0,0,22875,431737.37
9/1/2023,Concentrate (Bulk),Grams,0,0,23.5,977,23.5,977
9/1/2023,Infused (non-edible),Each,436,15567.73,0,0,436,15567.73
8/30/2023,Immature Plants,Each,3,40.02,0,0,3,40.02
8/30/2023,Suppository,Each,12,375.41,0,0,12,375.41
9/1/2023,Shake/Trim,Grams,0,0,19978.5,65666.56,19978.5,65666.56
8/29/2023,Vape Product,Each,22409,750846.660000001,0,0,22409,750846.660000001
8/28/2023,Buds,Grams,0,0,253059.41,1558599.95,253059.41,1558599.95
8/30/2023,Concentrate (Bulk),Grams,0,0,13.5,525.5,13.5,525.5
9/3/2023,Shake/Trim (by strain),Grams,0,0,42593.9,97255.04,42593.9,97255.04
9/3/2023,Infused (edible),Each,28514,540226.33,0,0,28514,540226.33
8/31/2023,Infused (edible),Each,32539,615178.89,0,0,32539,615178.89
8/30/2023,Concentrate (Each),Each,5571,191314.88,0,0,5571,191314.88
9/1/2023,Immature Plants,Each,25,4.21,0,0,25,4.21
8/30/2023,Infused Beverage,Each,5077,35916.77,0,0,5077,35916.77
9/2/2023,Vape Product,Each,29190,974125.570000001,0,0,29190,974125.570000001
8/28/2023,Vape Product,Each,21595,738207.55,0,0,21595,738207.55
8/28/2023,Concentrate (Each),Each,4795,164779.22,0,0,4795,164779.22
8/29/2023,Concentrate,Grams,0,0,390,13457.47,390,13457.47
9/1/2023,Kief,Grams,0,0,164,3286.4,164,3286.4
9/3/2023,Shake/Trim,Grams,0,0,12801.5,42996.71,12801.5,42996.71
8/29/2023,Concentrate (Bulk),Grams,0,0,21.5,637.5,21.5,637.5
8/30/2023,Infused (non-edible),Each,294,11732.57,0,0,294,11732.57
8/29/2023,Buds,Grams,0,0,264015.07,1603577.08,264015.07,1603577.08
8/30/2023,Kief,Milligrams,0,0,1000,30,1000,30
9/3/2023,Infused Pre-Rolls,Grams,0,0,3755.96,74567.56,3755.96,74567.56
9/1/2023,Concentrate,Grams,0,0,831.75,27477.53,831.75,27477.53
9/1/2023,Buds,Grams,0,0,488576.2,2829535.31,488576.2,2829535.31
8/30/2023,Raw Pre-Rolls,Grams,0,0,78628.45,734542.560000001,78628.45,734542.560000001
9/1/2023,Infused (edible),Each,42709,803841.290000001,0,0,42709,803841.290000001
9/1/2023,Vape Product,Each,38382,1251523.98,0,0,38382,1251523.98
9/2/2023,Infused Beverage,Each,9239,64261.83,0,0,9239,64261.83
8/29/2023,Infused Beverage,Each,4326,29841.59,0,0,4326,29841.59
8/31/2023,Shake/Trim,Grams,0,0,12856,44222.71,12856,44222.71
8/29/2023,Suppository,Each,9,250.62,0,0,9,250.62
9/3/2023,Infused (non-edible),Each,364,13208.81,0,0,364,13208.81
9/2/2023,Infused (non-edible),Each,474,18326.55,0,0,474,18326.55
8/31/2023,Concentrate (Each),Each,5763,212110.8,0,0,5763,212110.8
8/30/2023,Kief,Grams,0,0,81.6,1903.84,81.6,1903.84
9/1/2023,Concentrate (Each),Each,7919,281867.34,0,0,7919,281867.34
9/2/2023,Concentrate,Grams,0,0,569.9,18851.32,569.9,18851.32
8/29/2023,Kief,Grams,0,0,94,2064.13,94,2064.13
9/3/2023,Concentrate,Grams,0,0,486.3,16828.55,486.3,16828.55
8/30/2023,Buds,Grams,0,0,300521.53,1798264.88,300521.53,1798264.88
8/29/2023,Infused (edible),Each,23758,450844.56,0,0,23758,450844.56
9/3/2023,Vape Product,Each,22862,762461.91,0,0,22862,762461.91
9/2/2023,Infused Pre-Rolls,Grams,0,0,4917.43,96393.83,4917.43,96393.83
9/3/2023,Buds,Grams,0,0,267265.17,1638641.1,267265.17,1638641.1
8/31/2023,Immature Plants,Each,2,20,0,0,2,20
8/30/2023,Concentrate,Grams,0,0,540,17588.3,540,17588.3
8/29/2023,Infused Pre-Rolls,Grams,0,0,2848.96,54985.87,2848.96,54985.87
8/30/2023,Shake/Trim,Grams,0,0,10061.5,36136.06,10061.5,36136.06
8/28/2023,Infused Pre-Rolls,Grams,0,0,2464.94,49800.26,2464.94,49800.26
8/31/2023,Shake/Trim (by strain),Grams,0,0,21048.2,68791.65,21048.2,68791.65
